# Temperature (K),delta_v_33/v_33
1.2233,6.513977632123961e-06
1.2244,6.722455895885395e-06
1.2256,6.787007620013806e-06
1.2272,8.592047185923817e-06
1.2285,7.489899094769483e-06
1.2301,8.505213696314524e-06
1.2313,8.033550577403489e-06
1.2326,9.27054642733125e-06
1.2337,8.628734229886023e-06
1.2348,8.19110662539954e-06
1.2364,6.4053535109855845e-06
1.2376,8.880840250421212e-06
1.2389,7.528524454758213e-06
1.24,7.873691115703509e-06
1.2412,6.5431557618704375e-06
1.2427,6.244028067485134e-06
1.244,7.1692248400799025e-06
1.2452,7.552637253720385e-06
1.2465,7.973929662330516e-06
1.2481,7.847112271665036e-06
1.2493,8.126402511843595e-06
1.2504,7.805141065695675e-06
1.2517,6.637819004254197e-06
1.2529,7.93914247038005e-06
1.2546,8.275238197934804e-06
1.2562,6.982810427238673e-06
1.2573,9.016333427513365e-06
1.2585,7.933617044940229e-06
1.2596,8.689051472670809e-06
1.2613,7.4645642519767074e-06
1.2625,8.215115217234572e-06
1.264,7.652248544371743e-06
1.2653,8.475915519009605e-06
1.2666,7.077630007229274e-06
1.2678,6.438743228985526e-06
1.2694,8.73876156154516e-06
1.2706,1.0530992444922639e-05
1.2718,7.933803522994527e-06
1.273,8.83813109315708e-06
1.2741,8.239836774125766e-06
1.2758,8.139486405792242e-06
1.277,9.378389618144663e-06
1.279,1.1042124458529847e-05
1.2802,9.069092592357654e-06
1.2814,8.554721090204962e-06
1.2827,8.09501339443813e-06
1.2843,8.543933108689345e-06
1.2855,8.504296811383521e-06
1.2867,7.277379782619434e-06
1.288,8.373549918397599e-06
1.2892,8.886820758681122e-06
1.2907,9.331874133974795e-06
1.292,9.992316773776842e-06
1.2932,8.232055180699269e-06
1.2945,8.867102119468136e-06
1.2956,9.352295480172422e-06
1.2972,8.377306624800533e-06
1.2984,8.915109603115529e-06
1.2996,9.212955785007149e-06
1.3012,9.845524743666201e-06
1.3025,1.0946993579306557e-05
1.3037,9.361049513634086e-06
1.3049,9.751260754968923e-06
1.3065,1.1389508351602087e-05
1.3076,9.597866682605589e-06
1.3088,8.386192170839392e-06
1.3099,9.973034983297652e-06
1.3113,9.133693642637166e-06
1.3129,9.626253396719601e-06
1.3142,8.485704061335773e-06
1.3153,8.36975565059223e-06
1.317,9.474684199002248e-06
1.3182,9.991765783043822e-06
1.3193,1.006900332687945e-05
1.3206,9.402435678157589e-06
1.3218,8.809098965224202e-06
1.3234,7.771882022801141e-06
1.3246,9.927797190044488e-06
1.3261,8.930169312947842e-06
1.3274,9.28224329849265e-06
1.3287,7.902884972186956e-06
1.3299,1.008570361205814e-05
1.3314,8.264298763422084e-06
1.3326,9.076330711375662e-06
1.3338,9.483892995930596e-06
1.3351,9.425080214474154e-06
1.3366,1.0432255331242909e-05
1.3378,1.0311474508807101e-05
1.339,9.039762515057314e-06
1.3403,9.686875551838742e-06
1.3415,8.29562312593765e-06
1.3432,8.08121929602541e-06
1.3443,8.58210360572321e-06
1.3455,9.243433255951792e-06
1.3466,8.882599076464963e-06
1.3479,8.18356382456062e-06
1.3496,8.913999808632167e-06
1.3508,9.031275473344238e-06
1.3519,9.136538602997951e-06
1.3531,9.811923703913235e-06
1.3547,1.0475310891486177e-05
1.356,8.972832960004771e-06
1.3576,9.020006277147576e-06
1.3588,1.1139543681710278e-05
1.36,1.0543413292044248e-05
1.3611,1.0765232438499217e-05
1.3627,1.1292030293757113e-05
1.364,1.1036586799724352e-05
1.3655,9.694636996484822e-06
1.3667,9.526561926016382e-06
1.3679,9.677522895576172e-06
1.3691,1.0201093499343568e-05
1.3706,8.600672225392883e-06
1.3718,9.846694020368952e-06
1.3731,8.929996212828222e-06
1.3743,1.1858918134245735e-05
1.3755,1.0235554788929233e-05
1.3771,8.948841067885093e-06
1.3783,9.65149986252345e-06
1.3795,1.1080364813362295e-05
1.381,1.0359252943555248e-05
1.382,1.0695080202421261e-05
1.3831,1.0173719872642764e-05
1.3843,9.086898644737617e-06
1.3854,9.710040307704237e-06
1.3871,1.0758085016113623e-05
1.3883,1.0273465319562099e-05
1.3899,8.932376261078191e-06
1.391,9.108590066412068e-06
1.3922,1.05489628934088e-05
1.3939,8.276358752522183e-06
1.3951,1.0106201537820586e-05
1.3967,9.968230380408649e-06
1.3978,9.571543354765688e-06
1.399,9.261429928999551e-06
1.4001,1.0729782033154744e-05
1.4018,9.353203297974216e-06
1.4031,1.0096880905831278e-05
1.4043,9.212771725071467e-06
1.4059,9.229417564023007e-06
1.4071,9.79546112202744e-06
1.4083,1.0914866838441343e-05
1.4094,9.797431079520781e-06
1.4106,9.922287392965848e-06
1.4124,1.0588508730970477e-05
1.4136,9.731115605666213e-06
1.4152,9.466830844370578e-06
1.4165,9.73037566194734e-06
1.418,1.004132134170984e-05
1.4192,1.0599292707374165e-05
1.4204,9.31827367659817e-06
1.4216,1.1411872163371258e-05
1.4228,1.105199311651574e-05
1.4245,1.0493758000741828e-05
1.4258,8.898419046413802e-06
1.4269,1.0315279384236922e-05
1.4281,1.1045255253469267e-05
1.4296,9.566470229717709e-06
1.4309,1.1076674526959678e-05
1.4321,1.1511160600114755e-05
1.4333,1.1538820353541185e-05
1.4346,1.178967026422584e-05
1.4362,1.0854430791353614e-05
1.4375,9.726409977105319e-06
1.4387,8.342192653817726e-06
1.4399,9.14422283004335e-06
1.4414,9.374583015218577e-06
1.4427,9.950768562710433e-06
1.4439,8.188354424893863e-06
1.4451,9.23392984810243e-06
1.4467,9.346593305982294e-06
1.4479,1.0825009606862593e-05
1.4492,1.006407036179555e-05
1.4504,1.1755101421076099e-05
1.452,1.0728661987991736e-05
1.4533,1.1775711529465814e-05
1.4544,1.1904629464053323e-05
1.4555,1.2228397220030406e-05
1.4572,1.036170386514651e-05
1.4583,1.0691415354917584e-05
1.4597,9.542450762828957e-06
1.4609,1.1074627730292696e-05
1.4621,9.573530568562281e-06
1.4637,1.0528978185338968e-05
1.4648,1.1073089395689589e-05
1.4661,1.025819695310432e-05
1.4672,1.0165968772295344e-05
1.4685,9.492765008981628e-06
1.4703,1.1105709233554721e-05
1.4715,9.499733568506786e-06
1.4727,1.1057244228049283e-05
1.4737,1.1745409603749766e-05
1.4754,1.021943150234753e-05
1.4767,9.409888851543547e-06
1.4779,9.223789270642837e-06
1.4794,1.1690083778143716e-05
1.4806,1.0439198479809803e-05
1.4819,1.11446428602134e-05
1.4832,1.1208081236544433e-05
1.4848,9.793569334479944e-06
1.4859,1.1166929289491476e-05
