# T (K), alpha_33 (Neper/m)
2.463999999999999968e+00,2.819978732172785385e-01
2.463900000000000201e+00,-5.945419458203105023e-02
2.463699999999999779e+00,1.459420193125424703e-01
2.463600000000000012e+00,1.109787437155773659e-01
2.463499999999999801e+00,1.622684920696428890e-01
2.463299999999999823e+00,1.889455397520123370e-01
2.463000000000000078e+00,4.122360210424176330e-01
2.462899999999999867e+00,7.894366366463145823e-01
2.462499999999999911e+00,1.260299420114506574e+00
2.462299999999999933e+00,1.989175388347348417e+00
2.462200000000000166e+00,2.076955023363780128e+00
2.462099999999999955e+00,1.818582302217919278e+00
2.462000000000000188e+00,1.366074417976278710e+00
2.461899999999999977e+00,1.798182782765934462e+00
2.461699999999999999e+00,1.612029342891219130e+00
2.461599999999999788e+00,1.596714217311273387e+00
2.461300000000000043e+00,2.025081571554665061e+00
2.461199999999999832e+00,1.867761308748640658e+00
2.461100000000000065e+00,1.425603208215989071e+00
2.460999999999999854e+00,1.309878704897073476e+00
2.460799999999999876e+00,1.058651828535403183e+00
2.460599999999999898e+00,3.032515796971892996e-01
2.460300000000000153e+00,4.928949111397287197e-01
2.460100000000000176e+00,3.722945287031507178e-01
2.459999999999999964e+00,1.961254924674449285e-01
2.459900000000000198e+00,6.730913910689650947e-01
2.459700000000000220e+00,1.431107451303432754e+00
2.459499999999999797e+00,2.010886697403520884e+00
2.459000000000000075e+00,1.894769220522221076e+00
2.458899999999999864e+00,1.751861596715116320e+00
2.458800000000000097e+00,1.304514900853291692e+00
2.458600000000000119e+00,8.144796276953911729e-01
2.458400000000000141e+00,-6.289737694669383927e-02
2.458299999999999930e+00,-2.224095757096620218e-01
2.458099999999999952e+00,-3.894677379844324605e-01
2.458000000000000185e+00,-4.078453494678342395e-01
2.457800000000000207e+00,-4.758152950532803516e-01
2.457699999999999996e+00,-6.382129775570319907e-01
2.457599999999999785e+00,-6.986241656798028998e-01
2.457399999999999807e+00,-6.710672538936250930e-01
2.457199999999999829e+00,-5.913809914816283708e-01
2.457100000000000062e+00,-4.747074768622496777e-01
2.456799999999999873e+00,-3.651217645733595418e-02
2.456700000000000106e+00,-7.875427787666922086e-03
2.456500000000000128e+00,2.994138096482856781e-01
2.456399999999999917e+00,2.819998567481434293e-01
2.456199999999999939e+00,1.883093538019693369e-01
2.456100000000000172e+00,-1.499487037281141966e-01
2.455799999999999983e+00,-2.736590367719600181e-01
2.455700000000000216e+00,-5.367187611270765046e-01
2.455400000000000027e+00,-7.576768489996084099e-01
2.455299999999999816e+00,-8.980900373287568073e-01
2.455000000000000071e+00,-7.458638078276180750e-01
2.454899999999999860e+00,-6.313622729130656808e-01
2.454800000000000093e+00,-3.736291345883273607e-01
2.454699999999999882e+00,-2.108786456963116507e-01
2.454600000000000115e+00,-2.864985955623069458e-01
2.454299999999999926e+00,-5.537248090818138735e-01
2.454000000000000181e+00,-2.808891091472105472e-01
2.453800000000000203e+00,-1.142930954672465305e-01
2.453599999999999781e+00,2.490676198410710640e-01
