# B (T), A_asym/A_sym
2.496552856204858450e+00,-7.315846322221647782e-03
2.503578463558765232e+00,-1.098179128671849213e-02
2.510604070912672015e+00,-1.136718209816321191e-02
2.517629678266578797e+00,-1.466561741171733615e-02
2.524655285620485579e+00,-1.734343544877237075e-02
2.531680892974392361e+00,-1.768689314341123989e-02
2.538706500328299143e+00,-1.683225780406046729e-02
2.545732107682205925e+00,-2.051170359879471092e-02
2.552757715036112707e+00,-2.480198806776557838e-02
2.559783322390019489e+00,-2.582989453153395135e-02
2.566808929743926271e+00,-2.539079345159430887e-02
2.573834537097833053e+00,-2.442545312928574158e-02
2.580860144451739391e+00,-1.617628284062609320e-02
2.587885751805646173e+00,-1.336428349836643256e-02
2.594911359159552955e+00,-7.333074594357125338e-03
2.601936966513459737e+00,-1.556242451205462965e-02
2.608962573867366519e+00,-2.048978161210426863e-02
2.615988181221273301e+00,-1.486478959055238282e-02
2.623013788575180083e+00,-9.252008403516118890e-03
2.630039395929086865e+00,-6.486712003337096605e-04
2.637065003282993647e+00,-1.787555841961969570e-04
2.644090610636900429e+00,6.664464153723979011e-03
2.651116217990807211e+00,1.226306549578941307e-02
2.658141825344713993e+00,8.493986593202941873e-03
2.665167432698620775e+00,4.038784383759125296e-03
2.672193040052527557e+00,4.558056347452681643e-03
2.679218647406434339e+00,3.662324399732841667e-03
2.686244254760341121e+00,8.045348217795629964e-04
2.693269862114247903e+00,-3.307610219940190950e-03
2.700295469468154685e+00,-6.839798623807316798e-03
2.707321076822061467e+00,-9.167396685502982034e-03
2.714346684175968250e+00,-9.971968399688332235e-03
2.721372291529875032e+00,-8.004962599128698925e-03
2.728397898883781814e+00,-1.102484445957019332e-02
2.735423506237688152e+00,-1.547889174416484416e-02
2.742449113591594934e+00,-1.824721908754392205e-02
2.749474720945501716e+00,-1.675705231250308735e-02
2.756500328299408498e+00,-1.026486558341359150e-02
2.763525935653315280e+00,-6.016278979593851252e-03
2.770551543007222062e+00,-8.696060858550720349e-03
2.777577150361128844e+00,-7.765544021223515225e-03
2.784602757715035626e+00,-8.819040832726504284e-03
2.791628365068942408e+00,-1.139449203528387737e-02
2.798653972422849190e+00,-9.105684340544553668e-03
2.805679579776755972e+00,-5.282610733424508085e-05
2.812705187130662754e+00,7.195033254008925856e-03
2.819730794484569536e+00,1.028402656530096396e-02
2.826756401838476318e+00,1.388214773427734819e-02
2.833782009192383100e+00,2.032173683917578091e-02
2.840807616546289882e+00,2.426391365438904796e-02
2.847833223900196664e+00,2.406049834805562213e-02
2.854858831254103446e+00,1.677843238369938761e-02
2.861884438608010228e+00,9.557356752732658681e-03
2.868910045961917010e+00,5.113079353473997876e-03
2.875935653315823792e+00,3.613211568065583575e-04
2.882961260669730574e+00,-1.377213047775729081e-03
2.889986868023636912e+00,-5.488068247374714055e-03
2.897012475377543694e+00,-1.225651244076790894e-02
2.904038082731450476e+00,-1.953058940169565341e-02
2.911063690085357258e+00,-2.363889982805016804e-02
2.918089297439264040e+00,-2.623934427814094555e-02
2.925114904793170822e+00,-3.124334534138258415e-02
2.932140512147077605e+00,-3.437327315102697844e-02
2.939166119500984387e+00,-3.675724742677985435e-02
2.946191726854891169e+00,-4.355673748873785389e-02
2.953217334208797951e+00,-5.177288073806533136e-02
2.960242941562704733e+00,-5.764730092622029345e-02
2.967268548916611515e+00,-6.233279181267180336e-02
2.974294156270518297e+00,-6.629965716789756880e-02
2.981319763624425079e+00,-6.890300704432522627e-02
2.988345370978331861e+00,-7.246972430343991134e-02
2.995370978332238643e+00,-6.549634382800671728e-02
3.002396585686145425e+00,-6.410940512000916358e-02
3.009422193040052207e+00,-6.693806785876024734e-02
3.016447800393958989e+00,-7.062174837727568100e-02
3.023473407747865771e+00,-6.753463166621778702e-02
3.030499015101772553e+00,-5.894259065872761716e-02
3.037524622455679335e+00,-5.794605095062973360e-02
3.044550229809585673e+00,-5.930839820383825706e-02
3.051575837163492455e+00,-5.668908645487769071e-02
3.058601444517399237e+00,-5.682287165364092313e-02
3.065627051871306019e+00,-5.776101116097743376e-02
3.072652659225212801e+00,-6.239418323399149174e-02
3.079678266579119583e+00,-6.495545962384102756e-02
3.086703873933026365e+00,-6.678411092892752587e-02
3.093729481286933147e+00,-6.842175241070515279e-02
3.100755088640839929e+00,-6.549153987709456504e-02
3.107780695994746711e+00,-6.468755399324296884e-02
3.114806303348653493e+00,-6.564973499720314076e-02
3.121831910702560275e+00,-6.805654352883558356e-02
3.128857518056467057e+00,-6.373222069446793370e-02
3.135883125410373840e+00,-6.740710583358039409e-02
3.142908732764280622e+00,-6.590018211798136238e-02
3.149934340118187404e+00,-6.587363839145769784e-02
3.156959947472094186e+00,-5.892393619492309470e-02
3.163985554826000968e+00,-6.283738833637693422e-02
3.171011162179907750e+00,-6.536356395653307449e-02
3.178036769533814532e+00,-7.088187307239511570e-02
3.185062376887721314e+00,-6.789350660822619787e-02
3.192087984241628096e+00,-7.678090169459764192e-02
3.199113591595534878e+00,-8.180441653046413575e-02
3.206139198949441216e+00,-7.482424263907067052e-02
3.213164806303347998e+00,-7.000989799945767089e-02
3.220190413657254780e+00,-6.455597684239702816e-02
3.227216021011161562e+00,-5.911700579361861552e-02
3.234241628365068344e+00,-5.383017547793796792e-02
3.241267235718975126e+00,-4.861826337771396611e-02
3.248292843072881908e+00,-4.738774356415659250e-02
3.255318450426788690e+00,-5.301342808098726683e-02
3.262344057780695472e+00,-5.353523654347905336e-02
3.269369665134602254e+00,-5.601347698422456944e-02
3.276395272488509036e+00,-5.486514956927909803e-02
3.283420879842415818e+00,-5.747597501403355069e-02
3.290446487196322600e+00,-5.424744530603544529e-02
3.297472094550229382e+00,-5.293463476324875711e-02
3.304497701904136164e+00,-4.116707043202376404e-02
3.311523309258042946e+00,-3.615301001965055827e-02
3.318548916611949728e+00,-2.975774883280925265e-02
3.325574523965856510e+00,-2.888273059985440802e-02
3.332600131319763292e+00,-1.873026990342980397e-02
3.339625738673670075e+00,-1.168849230314233240e-02
3.346651346027576857e+00,-1.464890674538647797e-02
3.353676953381483639e+00,-1.339750737546810573e-02
3.360702560735389977e+00,-1.854336937399396132e-02
3.367728168089296759e+00,-1.959964966611562123e-02
3.374753775443203541e+00,-2.287509020220890310e-02
3.381779382797110323e+00,-2.659437727510472610e-02
3.388804990151017105e+00,-2.833052435408468447e-02
3.395830597504923887e+00,-2.333063074814114429e-02
3.402856204858830669e+00,-2.040888545598916123e-02
