# T (K), alpha_33 (Neper/m)
4.152000000000000135e-01,7.626779978137619764e+00
4.156000000000000250e-01,7.817960034489715326e+00
4.158999999999999919e-01,7.788400770795760764e+00
4.162000000000000144e-01,7.831545606881491040e+00
4.168000000000000038e-01,8.000101334449936985e+00
4.172000000000000153e-01,8.358025478843728706e+00
4.174999999999999822e-01,8.421712511956911840e+00
4.178000000000000047e-01,8.704339820218365276e+00
4.184999999999999831e-01,8.470784450468727300e+00
4.188000000000000056e-01,8.950352193445041848e+00
4.190999999999999726e-01,8.939160428542663794e+00
4.193999999999999950e-01,9.155042456702403797e+00
4.199999999999999845e-01,9.532435063335242376e+00
4.203999999999999959e-01,1.013680697198697089e+01
4.207000000000000184e-01,1.021161970799516894e+01
4.213000000000000078e-01,1.047433965726963834e+01
4.217000000000000193e-01,1.059400780467990444e+01
4.219999999999999862e-01,1.055282555645067077e+01
4.225999999999999757e-01,1.065498912654084052e+01
4.229999999999999871e-01,1.069324638660259552e+01
4.233000000000000096e-01,1.086932436341157882e+01
4.235999999999999766e-01,1.097248002995934257e+01
4.242000000000000215e-01,1.084449641753644755e+01
4.245999999999999774e-01,1.023901300300576622e+01
4.248999999999999999e-01,9.821929657754708387e+00
4.252000000000000224e-01,9.702740757537185345e+00
4.259000000000000008e-01,9.652647179260156918e+00
4.262000000000000233e-01,9.663295760133451040e+00
4.264999999999999902e-01,9.664763240322599813e+00
4.268000000000000127e-01,9.575787937135601169e+00
4.274999999999999911e-01,9.645051753685947915e+00
4.278000000000000136e-01,9.633689789722893693e+00
4.280999999999999805e-01,9.552477011482324087e+00
4.284000000000000030e-01,9.623040881601355068e+00
4.290999999999999814e-01,9.666888574461609096e+00
4.294000000000000039e-01,9.888692260726429595e+00
4.297000000000000264e-01,1.015652627234544525e+01
4.299999999999999933e-01,1.020964059683228697e+01
4.307000000000000273e-01,9.927756554579445947e+00
4.309999999999999942e-01,9.899454946282503442e+00
4.313000000000000167e-01,1.002432951340188083e+01
4.315999999999999837e-01,1.027373054211693670e+01
4.319999999999999951e-01,1.047408331584392727e+01
4.325999999999999845e-01,1.029004896091487353e+01
4.329000000000000070e-01,1.078735242639390890e+01
4.333000000000000185e-01,1.079085749897831192e+01
4.335999999999999854e-01,1.113665243304058095e+01
4.341999999999999749e-01,1.105008780040043348e+01
4.344999999999999973e-01,1.117808737054201629e+01
4.349000000000000088e-01,1.152322006046028946e+01
4.351999999999999758e-01,1.165071352816380568e+01
4.358000000000000207e-01,1.182661597196215553e+01
4.361999999999999766e-01,1.194475187699981689e+01
